일자,주가(USD),PER(일별),매출(USD),영업이익(USD),영업이익률(%),순이익(USD),매출성장률YoY(%),순이익성장률YoY(%),EPS추정치,EPS실적,컨센서스,서프라이즈(%),자사주매입(USD),배당금지급(USD)
2024-10-01,574.6630249023438,19.9444230498772,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-02,571.0145263671875,19.81779719241164,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-03,580.943359375,20.16239017528721,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-04,594.072021484375,20.618037363015645,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-07,582.947021484375,20.231929858591485,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-08,591.0315551757812,20.51251404987435,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-09,588.6589965820312,20.430171337269147,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-10,581.9999389648438,20.199060135616207,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-11,588.1007690429688,20.410797328998743,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-14,588.5692749023438,20.427057430407405,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-15,584.432373046875,20.283480904433226,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-16,574.9820556640625,19.95549542482028,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-17,575.12158203125,19.96033786773589,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-18,574.6630249023438,19.9444230498772,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-21,573.357177734375,19.89910193606293,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-22,580.1856689453125,20.136093549585393,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-23,561.9231567382812,19.50226945854965,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-24,566.0003051757812,19.643772164919987,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-25,571.453125,19.833019324866388,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-28,576.3477172851562,20.00289247654238,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-29,591.42041015625,20.526009764579225,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-30,589.9449462890625,20.474801883983467,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,4.76,5.16,상회,8.45,-8818000000.0,-1263000000.0
2024-10-31,565.8009643554688,19.63685378409655,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-01,565.3822021484375,19.62232010043777,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-04,558.9225463867188,19.39812939791225,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-05,570.6357421875,19.80465099786472,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-06,570.2568969726562,19.79150268501381,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-07,589.8453369140625,20.47134481187574,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-08,587.4927368164062,20.38969478467447,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-11,581.342041015625,20.176226936934082,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-12,582.9868774414062,20.233313111095374,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-13,578.1819458007812,20.066551747977133,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-14,575.350830078125,19.96829421751324,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-15,552.34326171875,19.169786819571076,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-18,552.6622924804688,19.180859194514156,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-19,559.331298828125,19.41231567971707,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
2024-11-20,563.7474365234375,19.565583446434427,40589000000.0,17350000000.0,42.74557146024785,15688000000.0,26.246027248761976,-82.7320244773075,5.29,6.03,상회,13.94,-8818000000.0,-1263000000.0
