일자,주가(USD),PER(일별),매출(USD),영업이익(USD),영업이익률(%),순이익(USD),매출성장률YoY(%),순이익성장률YoY(%),EPS추정치,EPS실적,컨센서스,서프라이즈(%),자사주매입(USD),배당금지급(USD)
2024-10-01,457.4100036621094,5.547285860239647,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-02,456.6700134277344,5.538311554188185,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-03,452.9599914550781,5.493317889280722,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-04,461.9700012207031,5.602587689620274,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-07,453.5,5.499866897264086,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-08,453.79998779296875,5.503505029418733,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-09,455.8999938964844,5.528973064816259,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-10,454.92999267578125,5.517209277376235,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-11,460.2099914550781,5.581242994033015,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-14,459.9800109863281,5.578453882749453,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-15,462.67999267578125,5.611198182456271,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-16,465.69000244140625,5.647702378862893,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-17,465.8500061035156,5.649642839380371,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-18,464.79998779296875,5.636908636629108,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-21,464.1600036621094,5.629147164664195,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-22,461.45001220703125,5.596281470517221,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-23,460.6099853515625,5.58609396027421,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-24,457.7699890136719,5.551651618825223,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
2024-10-25,454.010009765625,5.506052092031986,113509000000.0,,,26251000000.0,-15.85482086630925,-59.2394885989192,4.77,5.38,상회,12.84,0.0,
