일자,주가(USD),PER(일별),매출(USD),영업이익(USD),영업이익률(%),순이익(USD),매출성장률YoY(%),순이익성장률YoY(%),EPS추정치,EPS실적,컨센서스,서프라이즈(%),자사주매입(USD),배당금지급(USD)
2024-10-01,224.94403076171875,56.39000413575623,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-02,225.5108184814453,56.53208908796078,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-03,224.40704345703125,56.25538968864404,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-04,225.53074645996094,56.53708472526268,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-07,220.44932556152344,55.263250765285584,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-08,224.50650024414062,56.28032197343255,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-09,228.25540161132812,57.22011380913669,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-10,227.7581787109375,57.09546768576781,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-11,226.27655029296875,56.724046260029176,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-14,230.0055389404297,57.65884628357484,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-15,232.54127502441406,58.294516266809616,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-16,230.48284912109375,57.778500594785235,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-17,230.8507843017578,57.87073627798643,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-18,233.68482971191406,58.581187815013074,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-21,235.1565399169922,58.950122897531,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-22,234.5400390625,58.79557562807562,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-23,229.4685516357422,57.52423183646265,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-24,229.27963256835938,57.476872735823406,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-25,230.11492919921875,57.68626873672746,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-28,232.0937957763672,58.1823401109784,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-29,232.36228942871094,58.249647334534494,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-30,228.81227111816406,57.35971241812054,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-10-31,224.64573669433594,56.31522640710778,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,1.34,1.4,상회,4.36,-25083000000.0,-3804000000.0
2024-11-01,221.66250610351562,55.56737644289837,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-04,220.76751708984375,55.3430164809491,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-05,222.19947814941406,55.70198706486715,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-06,221.4735565185547,55.5200096919723,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-07,226.20692443847656,56.70659213061985,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-08,225.93814086914062,56.639212229338845,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-11,223.22042846679688,55.95792358571932,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-12,223.22042846679688,55.95792358571932,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-13,224.10643005371094,56.180030538196284,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-14,227.19247436523438,56.953654318745826,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-15,223.98695373535156,56.15007966524537,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-18,226.99337768554688,56.903743847447814,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-19,227.25218200683594,56.968622104934454,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-20,227.9689483642578,57.14830439177942,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-21,227.49111938476562,57.028520025692856,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-22,228.8350372314453,57.3654195320979,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-25,231.82151794433594,58.11408425185502,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-26,234.0016632080078,58.66061309291253,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-27,233.87225341796875,58.628172051597495,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-11-29,236.26145935058594,59.227109182603975,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-12-02,238.51126098632812,59.79109980335764,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-12-03,241.55747985839844,60.554739959590215,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-12-04,241.91586303710938,60.6445811030127,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-12-05,241.9457244873047,60.65206690867871,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
2024-12-06,241.7466278076172,60.6021564373807,94930000000.0,29591000000.0,31.171389444854103,14736000000.0,7.938480985989677,86.3870792616721,0.95,0.97,상회,2.48,-25083000000.0,-3804000000.0
