일자,주가(USD),PER(일별),매출(USD),영업이익(USD),영업이익률(%),순이익(USD),매출성장률YoY(%),순이익성장률YoY(%),EPS추정치,EPS실적,컨센서스,서프라이즈(%),자사주매입(USD),배당금지급(USD)
2024-10-01,80.48522186279297,35.641895769450564,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-02,79.6533432006836,35.27350848192742,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-03,79.6533432006836,35.27350848192742,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-04,80.1584243774414,35.49717750141279,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-07,78.336181640625,34.69021960045839,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-08,78.9402847290039,34.957739261977245,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-09,79.62362670898438,35.260348897158146,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-10,78.84126281738281,34.91388861994376,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-11,79.32652282714844,35.12878007813759,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
2024-10-14,79.51469421386719,35.21210947447889,169335000000.0,7940000000.0,4.688930227064694,4501000000.0,4.763929488882983,56.09864474561208,0.65,0.67,상회,3.76,-1013000000.0,-1665000000.0
